,datetime,ema,sma,rsi,close
853,2020-01-30,166.73212,166.62444,72.44592,172.78
852,2020-01-31,167.4317,166.97222,65.24779,170.23
851,2020-02-03,168.82136,167.84778,70.40199,174.38
850,2020-02-04,171.08109,169.45,75.75752,180.12
849,2020-02-05,172.84487,170.91444,75.19591,179.89999
848,2020-02-06,175.00189,172.98,78.15303,183.63
847,2020-02-07,176.77952,175.38111,78.3468,183.89
846,2020-02-10,179.16361,177.96333,81.59865,188.7
845,2020-02-11,180.21889,179.78555,71.37507,184.44
844,2020-02-12,181.11711,181.11111,71.61779,184.71001
843,2020-02-13,181.63569,182.60889,69.27487,183.71001
842,2020-02-14,182.37855,183.82778,70.95315,185.35001
841,2020-02-18,183.34884,184.61778,72.78811,187.23
840,2020-02-19,184.13507,185.43778,72.83726,187.28
839,2020-02-20,184.19206,185.52556,65.54501,184.42
838,2020-02-21,183.07165,184.93667,53.73496,178.59
837,2020-02-24,180.63532,182.95778,42.773,170.89
836,2020-02-25,178.12226,181.13889,39.58781,168.07001
835,2020-02-26,176.5318,179.52333,42.99231,170.17
834,2020-02-27,172.86144,176.68667,31.92871,158.17999
833,2020-02-28,170.69115,174.09333,37.4647,162.00999
832,2020-03-02,171.11092,172.48889,49.83171,172.78999
831,2020-03-03,169.79074,169.95889,42.82612,164.50999
830,2020-03-04,169.94259,168.41778,48.51246,170.55
829,2020-03-05,169.20807,167.04889,45.09024,166.27
828,2020-03-06,167.68046,166.01333,41.61826,161.57001
827,2020-03-09,164.26837,164.07444,34.87966,150.62
826,2020-03-10,163.59869,163.04666,44.05558,160.92
825,2020-03-11,161.60496,162.54111,39.78287,153.63
824,2020-03-12,157.09596,159.99111,32.91249,139.06
823,2020-03-13,157.44277,158.44,46.43102,158.83
822,2020-03-16,153.03822,155.20778,36.93911,135.42
821,2020-03-17,151.74457,152.54333,42.92402,146.57001
820,2020-03-18,149.47566,149.66889,40.62628,140.39999
819,2020-03-19,148.12253,147.57333,41.88067,142.71001
818,2020-03-20,145.96802,146.09889,39.78055,137.35001
817,2020-03-23,143.97042,143.32778,39.23893,135.98
816,2020-03-24,144.84433,142.74,46.33751,148.34
815,2020-03-25,145.25947,143.61333,45.67727,146.92
814,2020-03-26,147.42957,143.31111,50.58457,156.11
813,2020-03-27,147.88366,144.89778,47.37022,149.7
812,2020-03-30,150.35293,146.41555,52.68878,160.23
811,2020-03-31,151.82434,148.33889,51.35136,157.71001
810,2020-04-01,151.88147,149.38333,48.41055,152.11
809,2020-04-02,152.55718,151.37333,50.14025,155.25999
808,2020-04-03,152.81174,153.35667,49.33163,153.83
807,2020-04-06,155.30339,155.23778,55.51278,165.27
806,2020-04-07,156.94072,157.07889,54.40075,163.49001
805,2020-04-08,158.57857,158.08111,55.28943,165.13
804,2020-04-09,159.89086,159.79667,55.29514,165.14
803,2020-04-13,161.01469,160.38333,55.52192,165.50999
802,2020-04-14,163.55175,162.16,60.32018,173.7
801,2020-04-15,165.2174,164.35667,58.80208,171.88
800,2020-04-16,167.58192,166.77667,61.74193,177.03999
799,2020-04-17,169.78554,169.52889,62.61061,178.60001
798,2020-04-20,170.84043,170.61667,59.31911,175.06
797,2020-04-21,170.23634,171.09778,53.1634,167.82001
796,2020-04-22,170.89308,172.03,56.95103,173.52
795,2020-04-23,170.99846,172.72778,55.18052,171.42
794,2020-04-24,171.70877,173.73222,57.31074,174.55
793,2020-04-27,172.17702,173.77111,56.84594,174.05
792,2020-04-28,171.70361,173.54111,52.92599,169.81
